TXNAME	GENEID
"G1;G1.1(-)"	G1
"G2;G2.1(+)"	G2
"G3;G3.1(+)"	G3
"G3;G3.2(+)"	G3
"G4;G4.1(+)"	G4
"G5;G5.1(+)"	G5
"G6;G6.1(+)"	G6
"G7;G7.1(+)"	G7
"G8;G8.1(+)"	G8
"G9;G9.1(+)"	G9
"G10;G10.1(+)"	G10
"G11;G11.1(+)"	G11
"G12;G12.1(-)"	G12
"G12;G12.2(-)"	G12
"G12;G12.3(-)"	G12
"G13;G13.1(-)"	G13
"G14;G14.1(+)"	G14
"G15;G15.1(-)"	G15
"G16;G16.1(+)"	G16
"G17;G17.1(+)"	G17
"G17;G17.2(+)"	G17
"G18;G18.1(+)"	G18
"G19;G19.1(+)"	G19
"G19;G19.2(+)"	G19
"G19;G19.3(+)"	G19
"G20;G20.1(-)"	G20
"G20;G20.2(-)"	G20
"G21;G21.1(-)"	G21
"G22;G22.1(-)"	G22
"G23;G23.1(+)"	G23
"G24;G24.1(-)"	G24
"G25;G25.1(-)"	G25
"G25;G25.2(-)"	G25
"G26;G26.1(+)"	G26
"G26;G26.2(+)"	G26
"G27;G27.1(-)"	G27
"G28;G28.1(-)"	G28
"G29;G29.1(-)"	G29
"G30;G30.1(+)"	G30
"G31;G31.1(+)"	G31
"G32;G32.1(+)"	G32
"G33;G33.1(-)"	G33
"G34;G34.1(-)"	G34
"G35;G35.1(+)"	G35
"G36;G36.1(+)"	G36
"G37;G37.1(-)"	G37
"G38;G38.1(+)"	G38
"G39;G39.1(+)"	G39
"G39;G39.2(+)"	G39
"G40;G40.1(+)"	G40
"G41;G41.1(+)"	G41
"G42;G42.1(-)"	G42
"G43;G43.1(-)"	G43
"G44;G44.1(-)"	G44
"G45;G45.1(-)"	G45
"G46;G46.1(+)"	G46
"G47;G47.1(-)"	G47
"G47;G47.2(-)"	G47
"G48;G48.1(+)"	G48
"G49;G49.1(-)"	G49
"G50;G50.1(-)"	G50
"G51;G51.1(-)"	G51
"G52;G52.1(+)"	G52
"G53;G53.1(+)"	G53
"G54;G54.1(-)"	G54
"G55;G55.1(-)"	G55
"G55;G55.2(-)"	G55
"G56;G56.1(-)"	G56
"G56;G56.2(-)"	G56
"G57;G57.1(-)"	G57
"G58;G58.1(-)"	G58
"G59;G59.1(-)"	G59
"G59;G59.2(-)"	G59
"G60;G60.1(-)"	G60
"G60;G60.2(-)"	G60
"G60;G60.3(-)"	G60
"G61;G61.1(+)"	G61
"G62;G62.1(+)"	G62
"G62;G62.2(+)"	G62
"G63;G63.1(-)"	G63
"G64;G64.1(-)"	G64
"G65;G65.1(-)"	G65
