rownames.upSet_df_N22.
"B1;B1.1"
"B2;B2.1"
"B3;B3.1"
"B3;B3.2"
"B4;B4.1"
"B5;B5.1"
"B6;B6.1"
"B7;B7.1"
"B8;B8.1"
"B9;B9.1"
"B10;B10.1"
"B11;B11.1"
"B12;B12.1"
"B12;B12.2"
"B12;B12.3"
"B13;B13.1"
"B14;B14.1"
"B15;B15.1"
"B16;B16.1"
"B17;B17.2"
"B17;B17.1"
"B18;B18.1"
"B19;B19.1"
"B19;B19.3"
"B19;B19.2"
"B20;B20.1"
"B20;B20.2"
"B21;B21.1"
"B22;B22.1"
"B23;B23.1"
"B24;B24.1"
"B25;B25.1"
"B25;B25.2"
"B26;B26.1"
"B26;B26.2"
"B27;B27.1"
"B28;B28.1"
"B29;B29.1"
"B30;B30.1"
"B31;B31.1"
"B32;B32.1"
"B33;B33.1"
"B34;B34.1"
"B35;B35.1"
"B36;B36.1"
"B37;B37.1"
"B38;B38.1"
"B39;B39.1"
"B39;B39.2"
"B40;B40.1"
"B41;B41.1"
"B42;B42.1"
"B43;B43.1"
"B44;B44.1"
"B45;B45.1"
"B46;B46.1"
"B47;B47.1"
"B47;B47.2"
"B48;B48.1"
"B49;B49.1"
"B50;B50.1"
"B51;B51.1"
"B52;B52.1"
"B53;B53.1"
"B54;B54.1"
"B55;B55.1"
"B55;B55.2"
"B56;B56.1"
"B56;B56.2"
"B57;B57.1"
"B58;B58.1"
"B59;B59.1"
"B59;B59.2"
"B60;B60.1"
"B60;B60.3"
"B60;B60.2"
"B61;B61.1"
"B62;B62.1"
"B62;B62.2"
"B63;B63.1"
"B64;B64.1"
"B65;B65.1"
"B66;B66.1"
"B67;B67.1"
"B68;B68.1"
"B69;B69.1"
"B70;B70.1"
"B71;B71.1"
"B71;B71.2"
"B72;B72.1"
"B72;B72.2"
"B72;B72.3"
"B72;B72.5"
"B72;B72.4"
"B72;B72.6"
"B73;B73.1"
"B73;B73.2"
"B74;B74.1"
"B75;B75.1"
"B75;B75.2"
"B76;B76.1"
"B77;B77.1"
"B78;B78.1"
"B79;B79.1"
"B80;B80.1"
"B81;B81.1"
"B82;B82.1"
"B83;B83.1"
"B83;B83.2"
"B84;B84.1"
"B85;B85.1"
"B85;B85.2"
"B86;B86.1"
"B87;B87.1"
"B87;B87.3"
"B87;B87.2"
"B88;B88.2"
"B88;B88.1"
"B88;B88.3"
"B88;B88.4"
"B89;B89.1"
"B90;B90.1"
"B90;B90.2"
"B91;B91.1"
"B92;B92.1"
"B93;B93.1"
"B94;B94.1"
"B95;B95.1"
"B96;B96.1"
"B97;B97.1"
"B98;B98.1"
"B98;B98.2"
"B99;B99.1"
"B101;B101.1"
"B100;B100.2"
"B100;B100.1"
"B102;B102.1"
"B102;B102.2"
"B103;B103.1"
"B104;B104.1"
"B105;B105.1"
"B106;B106.1"
"B107;B107.1"
"B107;B107.3"
"B107;B107.2"
"B12652;B12652.1"
"B108;B108.1"
"B108;B108.2"
"B109;B109.1"
"B110;B110.1"
"B111;B111.1"
"B112;B112.1"
"B112;B112.2"
"B112;B112.3"
"B113;B113.1"
"B113;B113.2"
"B114;B114.1"
"B115;B115.1"
"B116;B116.1"
"B117;B117.1"
