target_id	length	eff_length	est_counts	tpm
G1;G1.1(-)	1251	1102	336	12.2802
G2;G2.1(+)	2954	2805	620	8.90238
G3;G3.1(+)	2353	2204	49.6454	0.907224
G3;G3.2(+)	2443	2294	308.355	5.41383
G4;G4.1(+)	956	807	447	22.3091
G5;G5.1(+)	1971	1822	1204	26.6149
G6;G6.1(+)	1205	1056	78	2.97494
G7;G7.1(+)	1489	1340	393	11.8123
G8;G8.1(+)	1134	985	149	6.09252
G9;G9.1(+)	1059	910	280	12.3926
G10;G10.1(+)	1143	994	51	2.06648
G11;G11.1(+)	942	793	648	32.9116
G12;G12.1(-)	1095	946	202.961	8.64109
G12;G12.2(-)	1003	854	0	0
G12;G12.3(-)	642	493	267.229	21.8315
G13;G13.1(-)	1039	890	106	4.79693
G14;G14.1(+)	2093	1944	221	4.57871
G15;G15.1(-)	2062	1913	670	14.1061
G16;G16.1(+)	1709	1560	923.142	23.8337
G17;G17.1(+)	616	467	90.0116	7.76298
G17;G17.2(+)	789	640	73.9884	4.6562
G18;G18.1(+)	1376	1227	1255	41.1952
G19;G19.1(+)	1564	1415	4455.79	126.828
G19;G19.2(+)	723	574	421.494	29.5751
G19;G19.3(+)	1365	1216	0	0
G20;G20.1(-)	1931	1782	139.765	3.15891
G20;G20.2(-)	1829	1680	118.235	2.83456
G21;G21.1(-)	780	631	311	19.8508
G22;G22.1(-)	1543	1394	328	9.47673
G23;G23.1(+)	997	848	199	9.45158
G24;G24.1(-)	1217	1068	24	0.905081
G25;G25.1(-)	925	776	324.622	16.8486
G25;G25.2(-)	639	490	0	0
G26;G26.1(+)	853	704	75.6364	4.32718
G26;G26.2(+)	732	583	443.364	30.6294
G27;G27.1(-)	1715	1566	264	6.78984
G28;G28.1(-)	1669	1520	363	9.61857
G29;G29.1(-)	2304	2155	1438	26.8756
G30;G30.1(+)	2926	2777	616	8.93413
G31;G31.1(+)	985	836	24	1.15625
G32;G32.1(+)	2075	1926	343	7.17274
G33;G33.1(-)	1385	1236	306	9.97126
G34;G34.1(-)	837	688	85	4.97597
G35;G35.1(+)	2766	2617	39	0.600217
G36;G36.1(+)	1605	1456	1187	32.835
G37;G37.1(-)	1197	1048	35	1.3451
G38;G38.1(+)	2437	2288	1189	20.9302
G39;G39.1(+)	1058	909	2158.53	95.6405
G39;G39.2(+)	727	578	1129.47	78.7034
G40;G40.1(+)	557	408	101	9.97031
G41;G41.1(+)	1026	877	179	8.22055
G42;G42.1(-)	1466	1317	779.385	23.8349
G43;G43.1(-)	1556	1407	1019	29.1694
G44;G44.1(-)	645	496	47	3.81648
G45;G45.1(-)	2202	2053	169	3.31547
G46;G46.1(+)	2051	1902	94	1.99051
