target_id	length	eff_length	est_counts	tpm
G1;G1.1(-)	1251	1102	432	16.6037
G2;G2.1(+)	2954	2805	518	7.82168
G3;G3.1(+)	2353	2204	8.90223e-06	1.71076e-07
G3;G3.2(+)	2443	2294	349	6.4437
G4;G4.1(+)	956	807	599	31.4381
G5;G5.1(+)	1971	1822	1429	33.219
G6;G6.1(+)	1205	1056	46	1.845
G7;G7.1(+)	1489	1340	452	14.2869
G8;G8.1(+)	1134	985	194	8.34197
G9;G9.1(+)	1059	910	174	8.09862
G10;G10.1(+)	1143	994	47	2.00269
G11;G11.1(+)	942	793	1048	55.9746
G12;G12.1(-)	1095	946	206.032	9.2246
G12;G12.2(-)	1003	854	37.291	1.84948
G12;G12.3(-)	642	493	310.1	26.6415
G13;G13.1(-)	1039	890	198	9.42276
G14;G14.1(+)	2093	1944	287	6.253
G15;G15.1(-)	2062	1913	577	12.7751
G16;G16.1(+)	1709	1560	1151.07	31.2522
G17;G17.1(+)	616	467	70.2139	6.36809
G17;G17.2(+)	789	640	88.7861	5.87582
G18;G18.1(+)	1376	1227	1113	38.4197
G19;G19.1(+)	1564	1415	7050.34	211.036
G19;G19.2(+)	723	574	848.642	62.6204
G19;G19.3(+)	1365	1216	5.00128	0.174201
G20;G20.1(-)	1931	1782	388	9.22204
G20;G20.2(-)	1829	1680	0	0
G21;G21.1(-)	780	631	244	16.3781
G22;G22.1(-)	1543	1394	398	12.0927
G23;G23.1(+)	997	848	240	11.9872
G24;G24.1(-)	1217	1068	36	1.42769
G25;G25.1(-)	925	776	476	25.9805
G25;G25.2(-)	639	490	0	0
G26;G26.1(+)	853	704	75.6364	4.55052
G26;G26.2(+)	732	583	470.364	34.1718
G27;G27.1(-)	1715	1566	191	5.16588
G28;G28.1(-)	1669	1520	486	13.5424
G29;G29.1(-)	2304	2155	1395	27.4176
G30;G30.1(+)	2926	2777	713	10.8747
G31;G31.1(+)	985	836	68	3.44513
G32;G32.1(+)	2075	1926	431	9.47816
G33;G33.1(-)	1385	1236	251	8.60118
G34;G34.1(-)	837	688	100	6.15623
G35;G35.1(+)	2766	2617	74	1.19765
G36;G36.1(+)	1605	1456	1235	35.926
G37;G37.1(-)	1197	1048	37	1.49535
G38;G38.1(+)	2437	2288	1170	21.6587
G39;G39.1(+)	1058	909	1644.99	76.6482
G39;G39.2(+)	727	578	831.012	60.8951
G40;G40.1(+)	557	408	136	14.1183
G41;G41.1(+)	1026	877	184	8.88631
G42;G42.1(-)	1466	1317	568.915	18.2964
G43;G43.1(-)	1556	1407	1256	37.8093
G44;G44.1(-)	645	496	58	4.95278
G45;G45.1(-)	2202	2053	210	4.33245
G46;G46.1(+)	2051	1902	129	2.87265
G47;G47.1(-)	1798	1649	0	0
G47;G47.2(-)	1919	1770	74	1.77077
G48;G48.1(+)	821	672	7	0.441196
G49;G49.1(-)	333	184	46	10.5887
G50;G50.1(-)	1006	857	627	30.9877
G51;G51.1(-)	1545	1396	0	0
G52;G52.1(+)	1519	1370	1011	31.256
G53;G53.1(+)	674	525	266	21.4598
G54;G54.1(-)	894	745	90	5.11669
G55;G55.1(-)	2063	1914	0	0
G55;G55.2(-)	1998	1849	296	6.78044
G56;G56.1(-)	1441	1292	2453.33	80.4261
G56;G56.2(-)	3140	2991	103.667	1.468
G57;G57.1(-)	1201	1052	152	6.11971
G58;G58.1(-)	1066	917	95	4.38791
G59;G59.1(-)	1333	1184	1696.27	60.68
G59;G59.2(-)	1371	1222	1122.73	38.9142
G60;G60.1(-)	3540	3391	2694.25	33.6522
G60;G60.2(-)	683	534	469.721	37.2565
G60;G60.3(-)	2020	1871	18.03	0.408156
G61;G61.1(+)	876	727	88	5.12686
G62;G62.1(+)	1306	1157	221.831	8.12066
G62;G62.2(+)	1040	891	169.169	8.04167
G63;G63.1(-)	2056	1907	1950	43.3099
G64;G64.1(-)	862	713	35	2.07913
G65;G65.1(-)	758	609	116	8.06759
G66;G66.1(+)	1853	1704	338	8.40137
G67;G67.1(+)	1382	1233	12	0.412213
G68;G68.1(+)	978	829	20	1.02183
G69;G69.1(-)	878	729	9	0.522899
G70;G70.1(-)	944	795	6	0.319659
G71;G71.1(-)	1234	1085	100.347	3.91721
G71;G71.2(-)	1061	912	27.6532	1.28426
G72;G72.1(-)	602	453	68.3221	6.38802
G72;G72.2(-)	1118	969	3433.76	150.089
G72;G72.3(-)	1027	878	0	0
G72;G72.4(-)	1066	917	29195.7	1348.5
G72;G72.5(-)	1123	974	8424.25	366.332
G72;G72.6(-)	983	834	0	0
G73;G73.1(-)	1219	1070	242.673	9.60595
G73;G73.2(-)	959	810	11211.3	586.239
G74;G74.1(+)	1270	1121	117	4.42062
G75;G75.1(+)	2225	2076	1012	20.647
G75;G75.2(+)	217	68.2613	0	0
G76;G76.1(+)	833	684	8	0.495378
G77;G77.1(+)	2166	2017	318	6.67766
G78;G78.1(-)	1765	1616	258	6.7621
