target_id	length	eff_length	est_counts	tpm
G1;G1.1(-)	1251	1102	568	21.8802
G2;G2.1(+)	2954	2805	847	12.8184
G3;G3.1(+)	2353	2204	15.3987	0.29659
G3;G3.2(+)	2443	2294	393.601	7.28362
G4;G4.1(+)	956	807	1047	55.0754
G5;G5.1(+)	1971	1822	1601	37.3016
G6;G6.1(+)	1205	1056	183	7.3565
G7;G7.1(+)	1489	1340	719	22.7776
G8;G8.1(+)	1134	985	223	9.61065
G9;G9.1(+)	1059	910	110	5.1314
G10;G10.1(+)	1143	994	186	7.94348
G11;G11.1(+)	942	793	1655	88.595
G12;G12.1(-)	1095	946	394.187	17.6887
G12;G12.2(-)	1003	854	165.828	8.24299
G12;G12.3(-)	642	493	1197.84	103.142
G13;G13.1(-)	1039	890	319	15.2155
G14;G14.1(+)	2093	1944	450	9.82654
G15;G15.1(-)	2062	1913	857	19.0174
G16;G16.1(+)	1709	1560	1311.75	35.6952
G17;G17.1(+)	616	467	67.815	6.16444
G17;G17.2(+)	789	640	96.185	6.37987
G18;G18.1(+)	1376	1227	1589	54.9748
G19;G19.1(+)	1564	1415	6233.52	187.008
G19;G19.2(+)	723	574	297.834	22.0266
G19;G19.3(+)	1365	1216	5.33008	0.186073
G20;G20.1(-)	1931	1782	494.579	11.7818
G20;G20.2(-)	1829	1680	0.421024	0.0106385
G21;G21.1(-)	780	631	94	6.32387
G22;G22.1(-)	1543	1394	427	13.0032
G23;G23.1(+)	997	848	408	20.4244
G24;G24.1(-)	1217	1068	288	11.4474
G25;G25.1(-)	925	776	1445	79.0479
G25;G25.2(-)	639	490	0	0
G26;G26.1(+)	853	704	23.2727	1.40333
G26;G26.2(+)	732	583	812.727	59.178
G27;G27.1(-)	1715	1566	606	16.4273
G28;G28.1(-)	1669	1520	560	15.6397
G29;G29.1(-)	2304	2155	1791	35.2803
G30;G30.1(+)	2926	2777	707	10.8076
G31;G31.1(+)	985	836	78	3.96071
G32;G32.1(+)	2075	1926	514	11.329
G33;G33.1(-)	1385	1236	244	8.38023
G34;G34.1(-)	837	688	182	11.2297
G35;G35.1(+)	2766	2617	146	2.36828
G36;G36.1(+)	1605	1456	961	28.0186
G37;G37.1(-)	1197	1048	101	4.09114
G38;G38.1(+)	2437	2288	1658	30.7619
G39;G39.1(+)	1058	909	1450.01	67.7158
G39;G39.2(+)	727	578	570.994	41.9361
G40;G40.1(+)	557	408	196	20.393
G41;G41.1(+)	1026	877	163	7.88992
G42;G42.1(-)	1466	1317	722.971	23.3034
G43;G43.1(-)	1556	1407	1090	32.8864
G44;G44.1(-)	645	496	106	9.07211
G45;G45.1(-)	2202	2053	193	3.99073
G46;G46.1(+)	2051	1902	97	2.16494
G47;G47.1(-)	1798	1649	30.8398	0.793918
G47;G47.2(-)	1919	1770	81.1602	1.9465
G48;G48.1(+)	821	672	19	1.20024
G49;G49.1(-)	333	184	38	8.76698
G50;G50.1(-)	1006	857	789	39.0823
G51;G51.1(-)	1545	1396	0	0
G52;G52.1(+)	1519	1370	2310	71.5774
G53;G53.1(+)	674	525	247	19.972
G54;G54.1(-)	894	745	258	14.701
G55;G55.1(-)	2063	1914	39.0665	0.866456
G55;G55.2(-)	1998	1849	352.934	8.1029
G56;G56.1(-)	1441	1292	3543.91	116.441
G56;G56.2(-)	3140	2991	104.086	1.47727
G57;G57.1(-)	1201	1052	170	6.8599
G58;G58.1(-)	1066	917	134	6.20326
G59;G59.1(-)	1333	1184	1378.95	49.4402
G59;G59.2(-)	1371	1222	1534.05	53.2909
G60;G60.1(-)	3540	3391	5216.17	65.2993
G60;G60.2(-)	683	534	1188.58	94.4868
G60;G60.3(-)	2020	1871	6.24624	0.141719
G61;G61.1(+)	876	727	239	13.9556
G62;G62.1(+)	1306	1157	187.034	6.86232
G62;G62.2(+)	1040	891	321.966	15.3397
G63;G63.1(-)	2056	1907	1615	35.9506
G64;G64.1(-)	862	713	30	1.78614
G65;G65.1(-)	758	609	72	5.0188
G66;G66.1(+)	1853	1704	477	11.8832
G67;G67.1(+)	1382	1233	29	0.998434
G68;G68.1(+)	978	829	14	0.716899
G69;G69.1(-)	878	729	40	2.32925
G70;G70.1(-)	944	795	5	0.266985
G71;G71.1(-)	1234	1085	98	3.83425
G71;G71.2(-)	1061	912	0	0
G72;G72.1(-)	602	453	102.303	9.58684
G72;G72.2(-)	1118	969	2378.75	104.21
G72;G72.3(-)	1027	878	23.8889	1.15501
G72;G72.4(-)	1066	917	30795.6	1425.62
G72;G72.5(-)	1123	974	9662.47	421.127
G72;G72.6(-)	983	834	0	0
G73;G73.1(-)	1219	1070	123.361	4.89414
G73;G73.2(-)	959	810	7608.64	398.755
G74;G74.1(+)	1270	1121	207	7.83879
G75;G75.1(+)	2225	2076	1263.55	25.8374
G75;G75.2(+)	217	68.2613	22.4531	13.9632
G76;G76.1(+)	833	684	78	4.84086
G77;G77.1(+)	2166	2017	866	18.2262
G78;G78.1(-)	1765	1616	308	8.09084
G79;G79.1(+)	1568	1419	29	0.867561
G80;G80.1(+)	892	743	680	38.8512
G81;G81.1(+)	1299	1150	248	9.15457
G82;G82.1(-)	896	747	174	9.8881
G83;G83.1(-)	2333	2184	2931	56.9702
G83;G83.2(-)	2136	1987	0	0
G84;G84.1(+)	2957	2808	319	4.82256
G85;G85.1(-)	1806	1657	511.602	13.1067
G85;G85.2(-)	1499	1350	1039.4	32.6838
G86;G86.1(+)	1019	870	211	10.2955
G87;G87.1(+)	1405	1256	138.573	4.68352
G87;G87.2(+)	494	345	0	0
G87;G87.3(+)	979	830	2026.43	103.642
G88;G88.1(+)	393	244	0	0
G88;G88.2(+)	1874	1725	5774.28	142.1
G88;G88.3(+)	1466	1317	0	0
G88;G88.4(+)	1473	1324	111.715	3.58187
G89;G89.1(+)	665	516	524	43.1088
G90;G90.1(-)	686	537	31.2816	2.47285
G90;G90.2(-)	583	434	69.7184	6.81934
G91;G91.1(-)	1195	1046	78	3.16554
G92;G92.1(-)	1686	1537	810	22.3715
G93;G93.1(-)	2228	2079	3984	81.3484
G94;G94.1(+)	1252	1103	606	23.3228
G95;G95.1(+)	1951	1802	28	0.659611
G96;G96.1(-)	1956	1807	64	1.50351
G97;G97.1(-)	915	766	380	21.0591
G98;G98.1(+)	938	789	1106.28	59.5212
G98;G98.2(+)	468	319	183.721	24.4486
G99;G99.1(-)	778	629	244.562	16.5053
G100;G100.1(-)	879	730	19158.6	1114.1
G100;G100.2(-)	684	535	0	0
G101;G101.1(+)	705	556	401.871	30.6829
G102;G102.1(-)	2075	1926	156.319	3.4454
G102;G102.2(-)	2202	2053	187.681	3.88075
G103;G103.1(-)	1744	1595	736	19.5885
G104;G104.1(-)	2579	2430	1649	28.807
G105;G105.1(-)	724	575	56	4.13432
G106;G106.1(+)	1828	1679	2642	66.7985
G107;G107.1(+)	828	679	2530	158.174
G107;G107.2(+)	473	324	0	0
G107;G107.3(+)	558	409	0	0
G108;G108.1(-)	1834	1685	1174.5	29.5895
G108;G108.2(-)	1362	1213	1861.5	65.1457
G109;G109.1(-)	2120	1971	403	8.67966
G110;G110.1(-)	1997	1848	128	2.9403
G111;G111.1(+)	1718	1569	76	2.05625
G112;G112.1(-)	1323	1174	445.713	16.1165
