target_id	length	eff_length	est_counts	tpm
G1;G1.1(-)	1251	1102	521	18.2222
G2;G2.1(+)	2954	2805	874	12.0094
G3;G3.1(+)	2353	2204	40.5151	0.708514
G3;G3.2(+)	2443	2294	525.485	8.82898
G4;G4.1(+)	956	807	1034	49.3845
G5;G5.1(+)	1971	1822	1798	38.0351
G6;G6.1(+)	1205	1056	110	4.01488
G7;G7.1(+)	1489	1340	714	20.537
G8;G8.1(+)	1134	985	170	6.65206
G9;G9.1(+)	1059	910	117	4.95551
G10;G10.1(+)	1143	994	90	3.48979
G11;G11.1(+)	942	793	1735	84.3276
G12;G12.1(-)	1095	946	360.687	14.6955
G12;G12.2(-)	1003	854	2.00252	0.0903782
G12;G12.3(-)	642	493	456.875	35.7186
G13;G13.1(-)	1039	890	349	15.114
G14;G14.1(+)	2093	1944	476	9.43744
G15;G15.1(-)	2062	1913	730	14.7079
G16;G16.1(+)	1709	1560	1262.9	31.2023
G17;G17.1(+)	616	467	43.5145	3.59137
G17;G17.2(+)	789	640	92.4855	5.56977
G18;G18.1(+)	1376	1227	1409	44.2599
G19;G19.1(+)	1564	1415	7679.19	209.172
G19;G19.2(+)	723	574	242.615	16.291
G19;G19.3(+)	1365	1216	15.4514	0.489754
G20;G20.1(-)	1931	1782	539	11.658
G20;G20.2(-)	1829	1680	0	0
G21;G21.1(-)	780	631	165	10.0786
G22;G22.1(-)	1543	1394	461	12.7462
G23;G23.1(+)	997	848	368	16.7261
G24;G24.1(-)	1217	1068	288	10.3936
G25;G25.1(-)	925	776	1082.01	53.7419
G25;G25.2(-)	639	490	3.99039	0.31388
G26;G26.1(+)	853	704	58.1818	3.18536
G26;G26.2(+)	732	583	740.818	48.9764
G27;G27.1(-)	1715	1566	524	12.8968
G28;G28.1(-)	1669	1520	472	11.9686
G29;G29.1(-)	2304	2155	2557	45.7327
G30;G30.1(+)	2926	2777	990	13.7405
G31;G31.1(+)	985	836	44	2.02857
G32;G32.1(+)	2075	1926	462	9.24548
G33;G33.1(-)	1385	1236	641	19.9886
G34;G34.1(-)	837	688	125	7.0027
G35;G35.1(+)	2766	2617	207	3.04867
G36;G36.1(+)	1605	1456	1202	31.819
G37;G37.1(-)	1197	1048	90	3.30998
G38;G38.1(+)	2437	2288	1645	27.7111
G39;G39.1(+)	1058	909	1639.5	69.5168
G39;G39.2(+)	727	578	843.505	56.2475
G40;G40.1(+)	557	408	103	9.73018
G41;G41.1(+)	1026	877	133	5.84515
G42;G42.1(-)	1466	1317	756.933	22.1521
G43;G43.1(-)	1556	1407	1190	32.5984
G44;G44.1(-)	645	496	77	5.98346
G45;G45.1(-)	2202	2053	252	4.73103
G46;G46.1(+)	2051	1902	50	1.01322
G47;G47.1(-)	1798	1649	73.4199	1.71608
G47;G47.2(-)	1919	1770	33.5801	0.731227
G48;G48.1(+)	821	672	12	0.688265
G49;G49.1(-)	333	184	47	9.84518
G50;G50.1(-)	1006	857	913	41.0614
G51;G51.1(-)	1545	1396	0	0
G52;G52.1(+)	1519	1370	2091	58.8271
G53;G53.1(+)	674	525	290	21.2903
G54;G54.1(-)	894	745	160	8.27766
G55;G55.1(-)	2063	1914	0	0
G55;G55.2(-)	1998	1849	453	9.44289
G56;G56.1(-)	1441	1292	3745.44	111.734
G56;G56.2(-)	3140	2991	160.56	2.06901
G57;G57.1(-)	1201	1052	102	3.73704
G58;G58.1(-)	1066	917	113	4.74955
G59;G59.1(-)	1333	1184	1735.69	56.5019
G59;G59.2(-)	1371	1222	1299.31	40.9814
G60;G60.1(-)	3540	3391	5733.2	65.1648
G60;G60.2(-)	683	534	1011.16	72.9832
G60;G60.3(-)	2020	1871	92.6413	1.90842
G61;G61.1(+)	876	727	260	13.7842
G62;G62.1(+)	1306	1157	234.88	7.82449
G62;G62.2(+)	1040	891	225.12	9.73824
G63;G63.1(-)	2056	1907	2240	45.2732
G64;G64.1(-)	862	713	37	2.00012
G65;G65.1(-)	758	609	76	4.80994
G66;G66.1(+)	1853	1704	552	12.4857
G67;G67.1(+)	1382	1233	18	0.562669
G68;G68.1(+)	978	829	13	0.604411
G69;G69.1(-)	878	729	16	0.845933
G70;G70.1(-)	944	795	3	0.145445
G71;G71.1(-)	1234	1085	172	6.11002
G71;G71.2(-)	1061	912	0	0
G72;G72.1(-)	602	453	154.356	13.1332
G72;G72.2(-)	1118	969	4410.69	175.439
G72;G72.3(-)	1027	878	5.84204	0.256456
G72;G72.4(-)	1066	917	35197.9	1479.42
G72;G72.5(-)	1123	974	9870.25	390.583
G72;G72.6(-)	983	834	0	0
G73;G73.1(-)	1219	1070	234.294	8.43958
G73;G73.2(-)	959	810	10316.7	490.908
G74;G74.1(+)	1270	1121	174	5.98256
G75;G75.1(+)	2225	2076	1559.27	28.9493
G75;G75.2(+)	217	68.2613	32.7293	18.4802
G76;G76.1(+)	833	684	23	1.29603
G77;G77.1(+)	2166	2017	890	17.007
G78;G78.1(-)	1765	1616	249	5.93884
G79;G79.1(+)	1568	1419	27	0.733373
G80;G80.1(+)	892	743	749	38.8541
G81;G81.1(+)	1299	1150	387	12.9705
G82;G82.1(-)	896	747	196	10.113
G83;G83.1(-)	2333	2184	3045.23	53.7417
G83;G83.2(-)	2136	1987	69.7659	1.35328
G84;G84.1(+)	2957	2808	389	5.33945
G85;G85.1(-)	1806	1657	591.533	13.7594
G85;G85.2(-)	1499	1350	1222.47	34.9017
G86;G86.1(+)	1019	870	206	9.12623
G87;G87.1(+)	1405	1256	76.6573	2.35238
G87;G87.2(+)	494	345	0	0
G87;G87.3(+)	979	830	1931.34	89.6861
G88;G88.1(+)	393	244	0	0
G88;G88.2(+)	1874	1725	5867	131.09
G88;G88.3(+)	1466	1317	0	0
G88;G88.4(+)	1473	1324	1.67781e-07	4.88425e-09
G89;G89.1(+)	665	516	530	39.5886
G90;G90.1(-)	686	537	537	38.5428
G90;G90.2(-)	583	434	311	27.6194
G91;G91.1(-)	1195	1046	71	2.6162
G92;G92.1(-)	1686	1537	969	24.2993
G93;G93.1(-)	2228	2079	4544	84.2418
G94;G94.1(+)	1252	1103	564	19.7082
G95;G95.1(+)	1951	1802	38	0.812779
G96;G96.1(-)	1956	1807	56	1.19447
G97;G97.1(-)	915	766	778	39.1466
G98;G98.1(+)	938	789	1175.11	57.4042
G98;G98.2(+)	468	319	99.8936	12.0695
G99;G99.1(-)	778	629	320.554	19.6424
G100;G100.1(-)	879	730	23921.1	1263
G100;G100.2(-)	684	535	0	0
G101;G101.1(+)	705	556	524.327	36.3472
G102;G102.1(-)	2075	1926	223.635	4.47534
G102;G102.2(-)	2202	2053	117.365	2.20341
G103;G103.1(-)	1744	1595	980	23.6815
G104;G104.1(-)	2579	2430	1720	27.2813
G105;G105.1(-)	724	575	45	3.0164
G106;G106.1(+)	1828	1679	1889	43.3636
G107;G107.1(+)	828	679	2559	145.259
G107;G107.2(+)	473	324	0	0
G107;G107.3(+)	558	409	0	0
G108;G108.1(-)	1834	1685	1702.85	38.9511
G108;G108.2(-)	1362	1213	1771.15	56.278
G109;G109.1(-)	2120	1971	535	10.4619
G110;G110.1(-)	1997	1848	132	2.75306
G111;G111.1(+)	1718	1569	149	3.66022
G112;G112.1(-)	1323	1174	487.348	15.9998
G112;G112.2(-)	1342	1193	103.529	3.34476
G112;G112.3(-)	611	462	214.123	17.8635
G113;G113.1(+)	2160	2011	442.612	8.48311
G113;G113.2(+)	1951	1802	308.388	6.59608
