target_id	length	eff_length	est_counts	tpm
G1;G1.1(-)	1251	1102	519	18.9486
G2;G2.1(+)	2954	2805	946	13.5691
G3;G3.1(+)	2353	2204	0	0
G3;G3.2(+)	2443	2294	540	9.47092
G4;G4.1(+)	956	807	683	34.0517
G5;G5.1(+)	1971	1822	1720	37.9815
G6;G6.1(+)	1205	1056	99	3.77192
G7;G7.1(+)	1489	1340	761	22.8492
G8;G8.1(+)	1134	985	189	7.72
G9;G9.1(+)	1059	910	145	6.41089
G10;G10.1(+)	1143	994	117	4.73578
G11;G11.1(+)	942	793	1322	67.0733
G12;G12.1(-)	1095	946	337.346	14.3475
G12;G12.2(-)	1003	854	81.6466	3.84655
G12;G12.3(-)	642	493	677.062	55.2552
G13;G13.1(-)	1039	890	266	12.0249
G14;G14.1(+)	2093	1944	457	9.45827
G15;G15.1(-)	2062	1913	834	17.5405
G16;G16.1(+)	1709	1560	1400.91	36.1307
G17;G17.1(+)	616	467	50.711	4.36895
G17;G17.2(+)	789	640	70.289	4.41875
G18;G18.1(+)	1376	1227	1429	46.8575
G19;G19.1(+)	1564	1415	6557.65	186.459
G19;G19.2(+)	723	574	734.267	51.4676
G19;G19.3(+)	1365	1216	47.8683	1.58382
G20;G20.1(-)	1931	1782	556	12.5533
G20;G20.2(-)	1829	1680	1.48711e-07	3.56143e-09
G21;G21.1(-)	780	631	139	8.86292
G22;G22.1(-)	1543	1394	460	13.2766
G23;G23.1(+)	997	848	349	16.5585
G24;G24.1(-)	1217	1068	194	7.3084
G25;G25.1(-)	925	776	730	37.8489
G25;G25.2(-)	639	490	0	0
G26;G26.1(+)	853	704	34.9091	1.99507
G26;G26.2(+)	732	583	621.091	42.8626
G27;G27.1(-)	1715	1566	593	15.2354
G28;G28.1(-)	1669	1520	540	14.2936
G29;G29.1(-)	2304	2155	2412	45.032
G30;G30.1(+)	2926	2777	976	14.1405
G31;G31.1(+)	985	836	40	1.92506
G32;G32.1(+)	2075	1926	723	15.1034
G33;G33.1(-)	1385	1236	579	18.8474
G34;G34.1(-)	837	688	110	6.43274
G35;G35.1(+)	2766	2617	242	3.72052
G36;G36.1(+)	1605	1456	1081	29.8714
G37;G37.1(-)	1197	1048	77	2.95611
G38;G38.1(+)	2437	2288	1525	26.8167
G39;G39.1(+)	1058	909	1724.63	76.3349
G39;G39.2(+)	727	578	961.372	66.9199
G40;G40.1(+)	557	408	153	15.0877
G41;G41.1(+)	1026	877	159	7.29439
G42;G42.1(-)	1466	1317	858.772	26.2352
G43;G43.1(-)	1556	1407	1043	29.8251
G44;G44.1(-)	645	496	107	8.67948
G45;G45.1(-)	2202	2053	253	4.95819
G46;G46.1(+)	2051	1902	126	2.66533
G47;G47.1(-)	1798	1649	50.7893	1.23921
G47;G47.2(-)	1919	1770	81.2107	1.846
G48;G48.1(+)	821	672	21	1.25731
G49;G49.1(-)	333	184	69	15.0877
G50;G50.1(-)	1006	857	805	37.7926
G51;G51.1(-)	1545	1396	0	0
G52;G52.1(+)	1519	1370	2077	60.9969
G53;G53.1(+)	674	525	260	19.9253
G54;G54.1(-)	894	745	300	16.2016
G55;G55.1(-)	2063	1914	39.5175	0.830691
G55;G55.2(-)	1998	1849	437.482	9.51953
G56;G56.1(-)	1441	1292	3439.27	107.101
G56;G56.2(-)	3140	2991	182.729	2.458
G57;G57.1(-)	1201	1052	128	4.89537
G58;G58.1(-)	1066	917	124	5.44056
G59;G59.1(-)	1333	1184	1751.67	59.524
G59;G59.2(-)	1371	1222	1787.33	58.8472
G60;G60.1(-)	3540	3391	4558.11	54.0814
G60;G60.2(-)	683	534	662.209	49.8937
G60;G60.3(-)	2020	1871	41.6854	0.8964
G61;G61.1(+)	876	727	212	11.7326
G62;G62.1(+)	1306	1157	234.88	8.16777
G62;G62.2(+)	1040	891	294.12	13.2812
G63;G63.1(-)	2056	1907	1992	42.0272
G64;G64.1(-)	862	713	26	1.46715
G65;G65.1(-)	758	609	50	3.30327
G66;G66.1(+)	1853	1704	477	11.2626
G67;G67.1(+)	1382	1233	14	0.456832
G68;G68.1(+)	978	829	14	0.679462
G69;G69.1(-)	878	729	14	0.772667
G70;G70.1(-)	944	795	8	0.404869
G71;G71.1(-)	1234	1085	159	5.89602
G71;G71.2(-)	1061	912	0	0
G72;G72.1(-)	602	453	232.615	20.6601
G72;G72.2(-)	1118	969	3129.38	129.935
G72;G72.3(-)	1027	878	12.3387	0.565414
G72;G72.4(-)	1066	917	37751.3	1656.36
G72;G72.5(-)	1123	974	10102.3	417.305
G72;G72.6(-)	983	834	0	0
G73;G73.1(-)	1219	1070	180.72	6.7954
G73;G73.2(-)	959	810	7897.28	392.269
G74;G74.1(+)	1270	1121	188	6.74751
G75;G75.1(+)	2225	2076	1512.74	29.3176
G75;G75.2(+)	217	68.2613	55.2593	32.5703
G76;G76.1(+)	833	684	28	1.647
G77;G77.1(+)	2166	2017	589	11.749
G78;G78.1(-)	1765	1616	306	7.61854
G79;G79.1(+)	1568	1419	52	1.47439
G80;G80.1(+)	892	743	839	45.4323
G81;G81.1(+)	1299	1150	359	12.56
G82;G82.1(-)	896	747	135	7.27118
G83;G83.1(-)	2333	2184	2305.94	42.4802
G83;G83.2(-)	2136	1987	208.065	4.21301
G84;G84.1(+)	2957	2808	421	6.03221
G85;G85.1(-)	1806	1657	593.225	14.4042
G85;G85.2(-)	1499	1350	1194.78	35.6077
G86;G86.1(+)	1019	870	140	6.47441
G87;G87.1(+)	1405	1256	97.2958	3.11671
G87;G87.2(+)	494	345	0	0
G87;G87.3(+)	979	830	2057.7	99.7462
G88;G88.1(+)	393	244	0	0
G88;G88.2(+)	1874	1725	5012	116.9
G88;G88.3(+)	1466	1317	0	0
G88;G88.4(+)	1473	1324	0	0
G89;G89.1(+)	665	516	322	25.1072
G90;G90.1(-)	686	537	568.282	42.5776
G90;G90.2(-)	583	434	157.718	14.6212
G91;G91.1(-)	1195	1046	86	3.30795
G92;G92.1(-)	1686	1537	703	18.4023
