target_id	length	eff_length	est_counts	tpm
G1;G1.1(-)	1251	1102	331	13.6681
G2;G2.1(+)	2954	2805	565	9.16592
G3;G3.1(+)	2353	2204	10.3973	0.21467
G3;G3.2(+)	2443	2294	440.603	8.74006
G4;G4.1(+)	956	807	477	26.8971
G5;G5.1(+)	1971	1822	1276	31.8686
G6;G6.1(+)	1205	1056	67	2.88716
G7;G7.1(+)	1489	1340	536	18.2021
G8;G8.1(+)	1134	985	108	4.9894
G9;G9.1(+)	1059	910	179	8.95101
G10;G10.1(+)	1143	994	70	3.20459
G11;G11.1(+)	942	793	947	54.3422
G12;G12.1(-)	1095	946	159.802	7.68691
G12;G12.2(-)	1003	854	77.3623	4.12223
G12;G12.3(-)	642	493	375.06	34.619
G13;G13.1(-)	1039	890	153	7.82279
G14;G14.1(+)	2093	1944	296	6.92877
G15;G15.1(-)	2062	1913	544	12.9403
G16;G16.1(+)	1709	1560	1011.31	29.4999
G17;G17.1(+)	616	467	85.104	8.29266
G17;G17.2(+)	789	640	25.896	1.84125
G18;G18.1(+)	1376	1227	1087	40.313
G19;G19.1(+)	1564	1415	7431.62	238.994
G19;G19.2(+)	723	574	429.13	34.0203
G19;G19.3(+)	1365	1216	4.67097	0.174797
G20;G20.1(-)	1931	1782	353	9.01421
G20;G20.2(-)	1829	1680	0	0
G21;G21.1(-)	780	631	207	14.928
G22;G22.1(-)	1543	1394	514	16.7788
G23;G23.1(+)	997	848	220	11.8056
G24;G24.1(-)	1217	1068	43	1.83214
G25;G25.1(-)	925	776	462	27.092
G25;G25.2(-)	639	490	0	0
G26;G26.1(+)	853	704	58.1818	3.76076
G26;G26.2(+)	732	583	397.818	31.0511
G27;G27.1(-)	1715	1566	251	7.29361
G28;G28.1(-)	1669	1520	500	14.9688
G29;G29.1(-)	2304	2155	1555	32.8355
G30;G30.1(+)	2926	2777	761	12.4701
G31;G31.1(+)	985	836	15	0.81648
G32;G32.1(+)	2075	1926	424	10.0177
G33;G33.1(-)	1385	1236	287	10.5663
G34;G34.1(-)	837	688	82	5.42358
G35;G35.1(+)	2766	2617	105	1.82577
G36;G36.1(+)	1605	1456	1020	31.8786
G37;G37.1(-)	1197	1048	55	2.38815
G38;G38.1(+)	2437	2288	1046	20.8035
G39;G39.1(+)	1058	909	1381.35	69.1513
G39;G39.2(+)	727	578	672.65	52.9568
G40;G40.1(+)	557	408	109	12.157
G41;G41.1(+)	1026	877	137	7.10856
G42;G42.1(-)	1466	1317	566.808	19.5844
G43;G43.1(-)	1556	1407	1297	41.9475
G44;G44.1(-)	645	496	54	4.95419
G45;G45.1(-)	2202	2053	178	3.9454
G46;G46.1(+)	2051	1902	66	1.57904
G47;G47.1(-)	1798	1649	12.8595	0.354866
G47;G47.2(-)	1919	1770	73.1405	1.88038
G48;G48.1(+)	821	672	17	1.15117
G49;G49.1(-)	333	184	44	10.8817
G50;G50.1(-)	1006	857	546	28.9916
G51;G51.1(-)	1545	1396	0	0
G52;G52.1(+)	1519	1370	1251	41.5525
G53;G53.1(+)	674	525	206	17.8554
G54;G54.1(-)	894	745	80	4.88646
G55;G55.1(-)	2063	1914	0	0
G55;G55.2(-)	1998	1849	300	7.3832
G56;G56.1(-)	1441	1292	2304.24	81.1568
G56;G56.2(-)	3140	2991	97.7644	1.48739
G57;G57.1(-)	1201	1052	121	5.23396
G58;G58.1(-)	1066	917	99	4.91277
G59;G59.1(-)	1333	1184	1091.23	41.9397
G59;G59.2(-)	1371	1222	1365.77	50.8588
G60;G60.1(-)	3540	3391	2936.62	39.4076
G60;G60.2(-)	683	534	552.555	47.0863
G60;G60.3(-)	2020	1871	29.8303	0.725511
G61;G61.1(+)	876	727	100	6.2593
G62;G62.1(+)	1306	1157	143.538	5.64537
G62;G62.2(+)	1040	891	212.462	10.8509
G63;G63.1(-)	2056	1907	1844	44.0018
G64;G64.1(-)	862	713	12	0.765865
G65;G65.1(-)	758	609	113	8.44348
G66;G66.1(+)	1853	1704	338	9.02625
G67;G67.1(+)	1382	1233	8	0.295248
G68;G68.1(+)	978	829	29	1.59186
G69;G69.1(-)	878	729	9	0.561792
G70;G70.1(-)	944	795	4	0.228957
G71;G71.1(-)	1234	1085	93	3.90044
G71;G71.2(-)	1061	912	0	0
G72;G72.1(-)	602	453	127.753	12.8332
G72;G72.2(-)	1118	969	2423.25	113.798
G72;G72.3(-)	1027	878	12.5028	0.647996
G72;G72.4(-)	1066	917	22475.6	1115.33
G72;G72.5(-)	1123	974	5520.31	257.908
G72;G72.6(-)	983	834	31.6188	1.7252
G73;G73.1(-)	1219	1070	238.6	10.1472
G73;G73.2(-)	959	810	8078.4	453.838
G74;G74.1(+)	1270	1121	89	3.61281
G75;G75.1(+)	2225	2076	1083.63	23.7528
G75;G75.2(+)	217	68.2613	38.3689	25.5779
G76;G76.1(+)	833	684	36	2.39501
G77;G77.1(+)	2166	2017	359	8.09933
G78;G78.1(-)	1765	1616	201	5.65998
G79;G79.1(+)	1568	1419	43	1.37894
G80;G80.1(+)	892	743	496	30.3776
G81;G81.1(+)	1299	1150	206	8.15136
G82;G82.1(-)	896	747	91	5.54346
G83;G83.1(-)	2333	2184	1574.25	32.8006
G83;G83.2(-)	2136	1987	136.75	3.13176
G84;G84.1(+)	2957	2808	195	3.16008
G85;G85.1(-)	1806	1657	750.06	20.5984
G85;G85.2(-)	1499	1350	849.94	28.6494
G86;G86.1(+)	1019	870	101	5.28278
G87;G87.1(+)	1405	1256	73.7089	2.67049
G87;G87.2(+)	494	345	0	0
G87;G87.3(+)	979	830	1569.29	86.0371
G88;G88.1(+)	393	244	0	0
G88;G88.2(+)	1874	1725	5011	132.189
G88;G88.3(+)	1466	1317	0	0
G88;G88.4(+)	1473	1324	0	0
G89;G89.1(+)	665	516	260	22.9289
G90;G90.1(-)	686	537	172.049	14.5793
G90;G90.2(-)	583	434	44.9515	4.71319
G91;G91.1(-)	1195	1046	64	2.78425
G92;G92.1(-)	1686	1537	782	23.1523
